Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Type d'événement;Date de début;Date de fin;Mesures de gestion
2024;Auvergne-Rhône-Alpes;063;FRK1463247D063060;Interdiction sanitaire;01/08/2024;07/08/2024;cyanobactéries : dépassement seuil de toxines
2024;Auvergne-Rhône-Alpes;063;FRK1463247D063060;Interdiction sanitaire;13/08/2024;14/08/2024;Présence de toxines dépassant les seuils d'alerte sanitaire. Baignade interdite
2024;Auvergne-Rhône-Alpes;063;FRK1463247D063060;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;063;FRK1463247D063060;Prolifération de cyanobactéries;01/08/2024;07/08/2024;Présence de toxines dépassant les seuils d'alerte sanitaire. Baignade interdite
2024;Auvergne-Rhône-Alpes;063;FRK1463247D063060;Prolifération de cyanobactéries;13/08/2024;14/08/2024;Présence de toxines dépassant les seuils d'alerte sanitaire. Baignade interdite
2024;Auvergne-Rhône-Alpes;063;FRK1463319D063160;Interdiction sanitaire;07/08/2024;14/08/2024;Cyanobactéries : dépassement seuil de toxines Baignade interdite
2024;Auvergne-Rhône-Alpes;063;FRK1463319D063160;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;063;FRK1463319D063160;Prolifération de cyanobactéries;07/08/2024;14/08/2024;Cyanobactéries : présence de toxines > seuil d'alerte Baignade interdite
2024;Auvergne-Rhône-Alpes;063;FRK1463338D063170;Interdiction sanitaire;08/08/2024;22/08/2024;Cyanobactéries  : présence de toxines avec dépassement du seuil d'alerte. Baignade interdite.
2024;Auvergne-Rhône-Alpes;063;FRK1463338D063170;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;063;FRK1463338D063170;Prolifération de cyanobactéries;08/08/2024;22/08/2024;Présence de toxines dépassant les seuils d'alerte sanitaire. Baignade interdite
2024;Auvergne-Rhône-Alpes;063;FRK1463354D063180;Interdiction sanitaire;07/08/2024;22/08/2024;Cyanobactéries : présence de toxines > seuil d'alerte Baignade interdite
2024;Auvergne-Rhône-Alpes;063;FRK1463354D063180;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;063;FRK1463354D063180;Prolifération de cyanobactéries;07/08/2024;22/08/2024;Présence de toxines dépassant les seuils d'alerte sanitaire. Baignade interdite
2024;Auvergne-Rhône-Alpes;063;FRK1463363D063140;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;063;FRK1463393D063190;Interdiction sanitaire;27/08/2024;31/08/2024;Cyanobactéries : dépassement du seuil d'alerte toxines. BAIGNADE et loisirs nautiques à risque élevé INTERDITS
2024;Auvergne-Rhône-Alpes;063;FRK1463393D063190;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;063;FRK1463393D063190;Prolifération de cyanobactéries;27/08/2024;31/08/2024;Cyanobactéries: présence de toxines dépassant le seuil d'alerte. BAIGNADE  et loisirs nautiques à risque élevé INTERDITS.
2024;Auvergne-Rhône-Alpes;063;FRK1463393D063195;Interdiction sanitaire;22/08/2024;31/08/2024;Cyanobactéries toxinogènes : présence de toxines au dessus du seuil d'alerte. BAIGNADE et loisirs nautiques à risque élevé INTERDITS.
2024;Auvergne-Rhône-Alpes;063;FRK1463393D063195;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;063;FRK1463393D063195;Prolifération de cyanobactéries;22/08/2024;31/08/2024;Cyanobactéries toxinogènes : présence de toxines au dessus du seuil d'alerte. BAIGNADE et loisirs nautiques à risque élevé INTERDITS.
2024;Auvergne-Rhône-Alpes;063;FRK1463401D063240;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;063;FRK1463416D063250;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;063;FRK1463419D063200;Interdiction sanitaire;12/08/2024;22/08/2024;Présence de toxines dépassant les seuils d'alerte sanitaire. Baignade interdite
2024;Auvergne-Rhône-Alpes;063;FRK1463419D063200;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;063;FRK1463419D063200;Prolifération de cyanobactéries;12/08/2024;22/08/2024;Présence de toxines dépassant les seuils d'alerte sanitaire. Baignade interdite
2024;Auvergne-Rhône-Alpes;063;FRK1463430D063001;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;063;FRK1463448D063220;Interdiction sanitaire;22/08/2024;28/08/2024;Cyanobactéries toxinogènes : présence de toxines au dessus du seuil d'alerte. BAIGNADE INTERDITE.
2024;Auvergne-Rhône-Alpes;063;FRK1463448D063220;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;063;FRK1463448D063220;Prolifération de cyanobactéries;22/08/2024;28/08/2024;Cyanobactéries toxinogènes : présence de toxines au dessus du seuil d'alerte. BAIGNADE INTERDITE.
2024;Auvergne-Rhône-Alpes;001;FRK2101010D001530;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101053D001570;Saison balnéaire;11/05/2024;29/08/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101058D001580;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101087D001600;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101099D001150;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101099D001605;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101123D001607;Saison balnéaire;08/05/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101133D001311;Saison balnéaire;08/06/2024;08/09/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101143D001620;Saison balnéaire;08/06/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101184D001110;Saison balnéaire;08/05/2024;01/09/2024;
