Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Date de prélèvement;"Résultat ""entérocoques intestinaux""";"Résultat ""Escherichia coli""";Statut du prélèvement;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101010D001530;18/06/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101010D001530;02/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101010D001530;17/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101010D001530;06/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101010D001530;21/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101053D001570;29/04/2024;77;110;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101053D001570;20/05/2024;30;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101053D001570;10/06/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101053D001570;01/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101053D001570;26/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101053D001570;19/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101058D001580;18/06/2024;61;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101058D001580;02/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101058D001580;17/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101058D001580;06/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101058D001580;21/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101087D001600;17/06/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101087D001600;02/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101087D001600;18/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101087D001600;06/08/2024;61;353;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101087D001600;20/08/2024;15;15;;;;
